"filename", "language", "Properties", "SQL", "PHP", "CSS", "Markdown", "JSON", "JavaScript", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\.gitmodules", "Properties", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\database\2020-05-10 22_01_43 - BACKUP.sql", "SQL", 0, 41, 0, 0, 0, 0, 0, 0, 0, 11, 9, 61
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\database\2020-05-10 22_55_19 - BACKUP.sql", "SQL", 0, 73, 0, 0, 0, 0, 0, 0, 0, 15, 13, 101
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\database\2020-05-25 13_55_09 - BACKUP.sql", "SQL", 0, 138, 0, 0, 0, 0, 0, 0, 0, 15, 13, 166
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\database\2020-06-04 18_03_12 - BACKUP.sql", "SQL", 0, 145, 0, 0, 0, 0, 0, 0, 0, 17, 15, 177
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\database\2020-06-04 20_22_56 - BACKUP.sql", "SQL", 0, 159, 0, 0, 0, 0, 0, 0, 0, 17, 15, 191
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\css\materialdesignicons.helper.css", "CSS", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\dist\planningpoker.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 6, 1, 8
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\js\_variables.js", "JavaScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 7, 25
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\js\accounthandler.js", "JavaScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\js\components\checkbox.js", "JavaScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\js\components\input.js", "JavaScript", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 8, 79
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\js\components\mainBox.js", "JavaScript", 0, 0, 0, 0, 0, 0, 65, 0, 0, 8, 10, 83
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\js\game.js", "JavaScript", 0, 0, 0, 0, 0, 0, 64, 0, 0, 10, 15, 89
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\js\gamehandler.js", "JavaScript", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 5, 60
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\js\opengamehandler.js", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\js\profile.js", "JavaScript", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 20, 99
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\js\utils\animate.js", "JavaScript", 0, 0, 0, 0, 0, 0, 21, 0, 0, 11, 2, 34
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\js\utils\revealPassword.js", "JavaScript", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\js\utils\tooltip.js", "JavaScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\js\utils\validation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 17, 68
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\libraries\bootstrap\bootstrap-grid.css", "CSS", 0, 0, 0, 3681, 0, 0, 0, 0, 0, 7, 211, 3899
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\libraries\bootstrap\bootstrap-grid.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 6, 0, 7
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\libraries\bootstrap\bootstrap-reboot.css", "CSS", 0, 0, 0, 264, 0, 0, 0, 0, 0, 8, 55, 327
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\libraries\bootstrap\bootstrap-reboot.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 0, 8
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\libraries\bootstrap\bootstrap.bundle.js", "JavaScript", 0, 0, 0, 0, 0, 0, 4586, 0, 0, 1375, 1174, 7135
